
Database             Time                 Version
-------------------- -------------------- ------------------------------
Start: ORCL          29-MAY-2023 08:15:06 Version 21.3.0.0.0

links_v based on arcs_bacon_numbers

View created.

Network detail

Network          #Links  #Nodes    Lev Node                                                                                  Link
--------------- ------- ------- ------ ------------------------------------------------------------------------------------- -------------------------------------------------------------------------------------
Audrey Gelfund     3396     161      0 Audrey Gelfund                                                                        ROOT
                                     1 < Andy Dick                                                                           Being John Malkovich (1999)-1
                                    14                           < Catherine Keener*                                         Being John Malkovich (1999)-569
                                    14                           < Charlene Grimsley*                                        Being John Malkovich (1999)-634
                                    14                           < Charlie Sheen*                                            Being John Malkovich (1999)-698
                                    14                           < Chelsa Sjostrom*                                          Being John Malkovich (1999)-761
                                    14                           > Daniel Hansen                                             Being John Malkovich (1999)-885
                                    15                             < Andy Dick*                                              Being John Malkovich (1999)-14
                                    15                             < Audrey Gelfund*                                         Being John Malkovich (1999)-87
                                    15                             < Bill M. Ryusaki*                                        Being John Malkovich (1999)-159
                                    15                             < Bill Wittman*                                           Being John Malkovich (1999)-230
                                    15                             < Brad Pitt*                                              Being John Malkovich (1999)-300
                                    15                             < Byrne Piven*                                            Being John Malkovich (1999)-369
                                    15                             < Cameron Diaz*                                           Being John Malkovich (1999)-437
                                    15                             < Carlos Jacott*                                          Being John Malkovich (1999)-504
                                    15                             < Catherine Keener*                                       Being John Malkovich (1999)-570
                                    15                             < Charlene Grimsley*                                      Being John Malkovich (1999)-635
                                    15                             < Charlie Sheen*                                          Being John Malkovich (1999)-699
                                    15                             < Chelsa Sjostrom*                                        Being John Malkovich (1999)-762
                                    15                             < Christine D. Coleman*                                   Being John Malkovich (1999)-824
                                    15                             > David Fincher                                           Being John Malkovich (1999)-946
                                    16                               < Andy Dick*                                            Being John Malkovich (1999)-15
                                    16                               < Audrey Gelfund*                                       Being John Malkovich (1999)-88
                                    16                               < Bill M. Ryusaki*                                      Being John Malkovich (1999)-160
                                    16                               < Bill Wittman*                                         Being John Malkovich (1999)-231
                                    16                               < Brad Pitt*                                            Being John Malkovich (1999)-301
                                    16                               < Byrne Piven*                                          Being John Malkovich (1999)-370
                                    16                               < Cameron Diaz*                                         Being John Malkovich (1999)-438
                                    16                               < Carlos Jacott*                                        Being John Malkovich (1999)-505
                                    16                               < Catherine Keener*                                     Being John Malkovich (1999)-571
                                    16                               < Charlene Grimsley*                                    Being John Malkovich (1999)-636
                                    16                               < Charlie Sheen*                                        Being John Malkovich (1999)-700
                                    16                               < Chelsa Sjostrom*                                      Being John Malkovich (1999)-763
                                    16                               < Christine D. Coleman*                                 Being John Malkovich (1999)-825
                                    16                               < Christine Krejer*                                     Being John Malkovich (1999)-886
                                    16                               > David Wyler (I)                                       Being John Malkovich (1999)-1006
                                    17                                 < Andy Dick*                                          Being John Malkovich (1999)-16
                                    17                                 < Audrey Gelfund*                                     Being John Malkovich (1999)-89
                                    17                                 < Bill M. Ryusaki*                                    Being John Malkovich (1999)-161
                                    17                                 < Bill Wittman*                                       Being John Malkovich (1999)-232
                                    17                                 < Brad Pitt*                                          Being John Malkovich (1999)-302
                                    17                                 < Byrne Piven*                                        Being John Malkovich (1999)-371
                                    17                                 < Cameron Diaz*                                       Being John Malkovich (1999)-439
                                    17                                 < Carlos Jacott*                                      Being John Malkovich (1999)-506
                                    17                                 < Catherine Keener*                                   Being John Malkovich (1999)-572
                                    17                                 < Charlene Grimsley*                                  Being John Malkovich (1999)-637
                                    17                                 < Charlie Sheen*                                      Being John Malkovich (1999)-701
                                    17                                 < Chelsa Sjostrom*                                    Being John Malkovich (1999)-764
                                    17                                 < Christine D. Coleman*                               Being John Malkovich (1999)-826
                                    17                                 < Christine Krejer*                                   Being John Malkovich (1999)-887
                                    17                                 < Daniel Hansen*                                      Being John Malkovich (1999)-947
                                    17                                 > Denise Dabrowski                                    Being John Malkovich (1999)-1065
                                    18                                   < Andy Dick*                                        Being John Malkovich (1999)-17
                                    18                                   < Audrey Gelfund*                                   Being John Malkovich (1999)-90
                                    18                                   < Bill M. Ryusaki*                                  Being John Malkovich (1999)-162
                                    18                                   < Bill Wittman*                                     Being John Malkovich (1999)-233
                                    18                                   < Brad Pitt*                                        Being John Malkovich (1999)-303
                                    18                                   < Byrne Piven*                                      Being John Malkovich (1999)-372
                                    18                                   < Cameron Diaz*                                     Being John Malkovich (1999)-440
                                    18                                   < Carlos Jacott*                                    Being John Malkovich (1999)-507
                                    18                                   < Catherine Keener*                                 Being John Malkovich (1999)-573
                                    18                                   < Charlene Grimsley*                                Being John Malkovich (1999)-638
                                    18                                   < Charlie Sheen*                                    Being John Malkovich (1999)-702
                                    18                                   < Chelsa Sjostrom*                                  Being John Malkovich (1999)-765
                                    18                                   < Christine D. Coleman*                             Being John Malkovich (1999)-827
                                    18                                   < Christine Krejer*                                 Being John Malkovich (1999)-888
                                    18                                   < Daniel Hansen*                                    Being John Malkovich (1999)-948
                                    18                                   < David Fincher*                                    Being John Malkovich (1999)-1007
                                    18                                   > Dustin Hoffman                                    Being John Malkovich (1999)-1123
                                    19                                     < Andy Dick*                                      Being John Malkovich (1999)-18
                                    19                                     < Audrey Gelfund*                                 Being John Malkovich (1999)-91
                                    19                                     < Bill M. Ryusaki*                                Being John Malkovich (1999)-163
                                    19                                     < Bill Wittman*                                   Being John Malkovich (1999)-234
                                    19                                     < Brad Pitt*                                      Being John Malkovich (1999)-304
                                    19                                     < Byrne Piven*                                    Being John Malkovich (1999)-373
                                    19                                     < Cameron Diaz*                                   Being John Malkovich (1999)-441
                                    19                                     < Carlos Jacott*                                  Being John Malkovich (1999)-508
                                    19                                     < Catherine Keener*                               Being John Malkovich (1999)-574
                                    19                                     < Charlene Grimsley*                              Being John Malkovich (1999)-639
                                    19                                     < Charlie Sheen*                                  Being John Malkovich (1999)-703
                                    19                                     < Chelsa Sjostrom*                                Being John Malkovich (1999)-766
                                    19                                     < Christine D. Coleman*                           Being John Malkovich (1999)-828
                                    19                                     < Christine Krejer*                               Being John Malkovich (1999)-889
                                    19                                     < Daniel Hansen*                                  Being John Malkovich (1999)-949
                                    19                                     < David Fincher*                                  Being John Malkovich (1999)-1008
                                    19                                     < David Wyler (I)*                                Being John Malkovich (1999)-1066
                                    19                                     > Eddie J. Low                                    Being John Malkovich (1999)-1180
                                    20                                       < Andy Dick*                                    Being John Malkovich (1999)-19
                                    20                                       < Audrey Gelfund*                               Being John Malkovich (1999)-92
                                    20                                       < Bill M. Ryusaki*                              Being John Malkovich (1999)-164
                                    20                                       < Bill Wittman*                                 Being John Malkovich (1999)-235
                                    20                                       < Brad Pitt*                                    Being John Malkovich (1999)-305
                                    20                                       < Byrne Piven*                                  Being John Malkovich (1999)-374
                                    20                                       < Cameron Diaz*                                 Being John Malkovich (1999)-442
                                    20                                       < Carlos Jacott*                                Being John Malkovich (1999)-509
                                    20                                       < Catherine Keener*                             Being John Malkovich (1999)-575
                                    20                                       < Charlene Grimsley*                            Being John Malkovich (1999)-640
                                    20                                       < Charlie Sheen*                                Being John Malkovich (1999)-704
                                    20                                       < Chelsa Sjostrom*                              Being John Malkovich (1999)-767
                                    20                                       < Christine D. Coleman*                         Being John Malkovich (1999)-829
                                    20                                       < Christine Krejer*                             Being John Malkovich (1999)-890
                                    20                                       < Daniel Hansen*                                Being John Malkovich (1999)-950
                                    20                                       < David Fincher*                                Being John Malkovich (1999)-1009
                                    20                                       < David Wyler (I)*                              Being John Malkovich (1999)-1067
                                    20                                       < Denise Dabrowski*                             Being John Malkovich (1999)-1124
                                    20                                       > Elizabeth Rivera                              Being John Malkovich (1999)-1236
                                    21                                         < Andy Dick*                                  Being John Malkovich (1999)-20
                                    21                                         < Audrey Gelfund*                             Being John Malkovich (1999)-93
                                    21                                         < Bill M. Ryusaki*                            Being John Malkovich (1999)-165
                                    21                                         < Bill Wittman*                               Being John Malkovich (1999)-236
                                    21                                         < Brad Pitt*                                  Being John Malkovich (1999)-306
                                    21                                         < Byrne Piven*                                Being John Malkovich (1999)-375
                                    21                                         < Cameron Diaz*                               Being John Malkovich (1999)-443
                                    21                                         < Carlos Jacott*                              Being John Malkovich (1999)-510
                                    21                                         < Catherine Keener*                           Being John Malkovich (1999)-576
                                    21                                         < Charlene Grimsley*                          Being John Malkovich (1999)-641
                                    21                                         < Charlie Sheen*                              Being John Malkovich (1999)-705
                                    21                                         < Chelsa Sjostrom*                            Being John Malkovich (1999)-768
                                    21                                         < Christine D. Coleman*                       Being John Malkovich (1999)-830
                                    21                                         < Christine Krejer*                           Being John Malkovich (1999)-891
                                    21                                         < Daniel Hansen*                              Being John Malkovich (1999)-951
                                    21                                         < David Fincher*                              Being John Malkovich (1999)-1010
                                    21                                         < David Wyler (I)*                            Being John Malkovich (1999)-1068
                                    21                                         < Denise Dabrowski*                           Being John Malkovich (1999)-1125
                                    21                                         < Dustin Hoffman*                             Being John Malkovich (1999)-1181
                                    21                                         > Eric Weinstein (I)                          Being John Malkovich (1999)-1291
                                    22                                           < Andy Dick*                                Being John Malkovich (1999)-21
                                    22                                           < Audrey Gelfund*                           Being John Malkovich (1999)-94
                                    22                                           < Bill M. Ryusaki*                          Being John Malkovich (1999)-166
                                    22                                           < Bill Wittman*                             Being John Malkovich (1999)-237
                                    22                                           < Brad Pitt*                                Being John Malkovich (1999)-307
                                    22                                           < Byrne Piven*                              Being John Malkovich (1999)-376
                                    22                                           < Cameron Diaz*                             Being John Malkovich (1999)-444
                                    22                                           < Carlos Jacott*                            Being John Malkovich (1999)-511
                                    22                                           < Catherine Keener*                         Being John Malkovich (1999)-577
                                    22                                           < Charlene Grimsley*                        Being John Malkovich (1999)-642
                                    22                                           < Charlie Sheen*                            Being John Malkovich (1999)-706
                                    22                                           < Chelsa Sjostrom*                          Being John Malkovich (1999)-769
                                    22                                           < Christine D. Coleman*                     Being John Malkovich (1999)-831
                                    22                                           < Christine Krejer*                         Being John Malkovich (1999)-892
                                    22                                           < Daniel Hansen*                            Being John Malkovich (1999)-952
                                    22                                           < David Fincher*                            Being John Malkovich (1999)-1011
                                    22                                           < David Wyler (I)*                          Being John Malkovich (1999)-1069
                                    22                                           < Denise Dabrowski*                         Being John Malkovich (1999)-1126
                                    22                                           < Dustin Hoffman*                           Being John Malkovich (1999)-1182
                                    22                                           < Eddie J. Low*                             Being John Malkovich (1999)-1237
                                    22                                           > Erica Long                                Being John Malkovich (1999)-1345
                                    23                                             < Andy Dick*                              Being John Malkovich (1999)-22
                                    23                                             < Audrey Gelfund*                         Being John Malkovich (1999)-95
                                    23                                             < Bill M. Ryusaki*                        Being John Malkovich (1999)-167
                                    23                                             < Bill Wittman*                           Being John Malkovich (1999)-238
                                    23                                             < Brad Pitt*                              Being John Malkovich (1999)-308
                                    23                                             < Byrne Piven*                            Being John Malkovich (1999)-377
                                    23                                             < Cameron Diaz*                           Being John Malkovich (1999)-445
                                    23                                             < Carlos Jacott*                          Being John Malkovich (1999)-512
                                    23                                             < Catherine Keener*                       Being John Malkovich (1999)-578
                                    23                                             < Charlene Grimsley*                      Being John Malkovich (1999)-643
                                    23                                             < Charlie Sheen*                          Being John Malkovich (1999)-707
                                    23                                             < Chelsa Sjostrom*                        Being John Malkovich (1999)-770
                                    23                                             < Christine D. Coleman*                   Being John Malkovich (1999)-832
                                    23                                             < Christine Krejer*                       Being John Malkovich (1999)-893
